PostalCode,Borough,Neighborhood,Latitude,Longitude
M4L,East Toronto,"India Bazaar, The Beaches West",43.671623749999995,-79.31010760000001
M4M,East Toronto,Studio District,43.64958515,-79.39068322559326
M4N,Central Toronto,Lawrence Park,43.729199,-79.4032525
M4P,Central Toronto,Davisville North,43.697936,-79.3972908
M4R,Central Toronto,"North Toronto West, Lawrence Park",43.6878728,-79.41138939999999
M4S,Central Toronto,Davisville,43.697936,-79.3972908
M4T,Central Toronto,"Moore Park, Summerhill East",43.686032600000004,-79.38690009999999
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6816776,-79.4011087
M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6669383,-79.3698451
M4Y,Downtown Toronto,Church and Wellesley,43.6708625,-79.37279241253721
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65039285,-79.3703032
M5B,Downtown Toronto,"Garden District, Ryerson",43.65741195,-79.37801962843974
M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858
M5G,Downtown Toronto,Central Bay Street,43.6526511,-79.3825029
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6489494,-79.38047735048377
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6400801,-79.3801495
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.647559,-79.38074322145646
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.65878215,-79.37614684049788
M5M,North York,"Bedford Park, Lawrence Manor East",43.7297332,-79.424216
M5N,Central Toronto,Roselawn,43.7074896,-79.4154939
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.69574865,-79.4152454
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6713861,-79.39756691740916
M5S,Downtown Toronto,"University of Toronto, Harbord",43.663461999999996,-79.39775965337452
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6529237,-79.3980316
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6440753,-79.398329
M5W,Downtown Toronto,Stn A PO Boxes,43.6541737,-79.38081164513409
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.70945675,-79.37827714641513
M6A,North York,"Lawrence Manor, Lawrence Heights",43.7224286,-79.44421994999999
M6B,North York,Glencairn,43.7087117,-79.4406853
M6C,York,Humewood-Cedarvale,43.6883215,-79.4280805
M6E,York,"Caledonia, Fairbanks",43.6923702,-79.4653558
M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6627544,-79.43417765000001
M6J,West Toronto,"Little Portugal, Trinity",43.6563574,-79.41318423755996
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6404954,-79.4368965
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7158241,-79.49341621107953
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6869597,-79.4895513
M6N,York,"Runnymede, The Junction North",43.65859005,-79.4731749
M6P,West Toronto,"High Park, The Junction South",43.659672150000006,-79.4686082
M6R,West Toronto,"Parkdale, Roncesvalles",43.645969,-79.4439673
M6S,West Toronto,"Runnymede, Swansea",43.6483213,-79.4771554
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399
M7R,Mississauga,Canada Post Gateway Processing Centre,43.5483881,-79.66278143853629
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6261221,-79.3950351
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6087199,-79.50103440000001
M8W,Etobicoke,"Queens Park, Ontario Provincial Government",43.659659,-79.3903399
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6495722,-79.5113328
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.644489074999996,-79.4992351005542
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.63549965,-79.51131445
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.64397665,-79.5189995
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.645335,-79.5248163
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.63734505,-79.58045154999999
M9L,North York,Humber Summit,43.7600778,-79.5717598
M9M,North York,"Humberlea, Emery",43.736695499999996,-79.5377631
M9N,York,Weston,43.7001608,-79.5162474
M9P,Etobicoke,Westmount,43.6936399,-79.5210426
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6934248,-79.5523171
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7372656,-79.58454336862486
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.684958425000005,-79.50849185547587
